y=172, rel_y=0, left=294, right=729, width=436
y=173, rel_y=1, left=295, right=730, width=436
y=174, rel_y=2, left=292, right=381, width=90
y=175, rel_y=3, left=294, right=705, width=412
y=176, rel_y=4, left=294, right=731, width=438
y=177, rel_y=5, left=293, right=730, width=438
y=178, rel_y=6, left=289, right=706, width=418
y=179, rel_y=7, left=298, right=737, width=440
y=180, rel_y=8, left=289, right=737, width=449
y=181, rel_y=9, left=288, right=737, width=450
y=182, rel_y=10, left=286, right=737, width=452
y=183, rel_y=11, left=288, right=737, width=450
y=184, rel_y=12, left=286, right=737, width=452
y=185, rel_y=13, left=286, right=700, width=415
y=186, rel_y=14, left=286, right=712, width=427
y=187, rel_y=15, left=286, right=712, width=427
y=188, rel_y=16, left=286, right=699, width=414
y=189, rel_y=17, left=286, right=695, width=410
y=190, rel_y=18, left=286, right=711, width=426
y=191, rel_y=19, left=308, right=710, width=403
y=192, rel_y=20, left=313, right=709, width=397
y=193, rel_y=21, left=313, right=649, width=337
y=194, rel_y=22, left=313, right=711, width=399
y=195, rel_y=23, left=318, right=734, width=417
y=196, rel_y=24, left=310, right=736, width=427
y=197, rel_y=25, left=480, right=736, width=257
y=200, rel_y=28, left=479, right=550, width=72
y=201, rel_y=29, left=265, right=757, width=493
y=202, rel_y=30, left=266, right=737, width=472
y=203, rel_y=31, left=266, right=737, width=472
y=204, rel_y=32, left=273, right=759, width=487
y=205, rel_y=33, left=259, right=737, width=479
y=206, rel_y=34, left=259, right=737, width=479
y=207, rel_y=35, left=286, right=737, width=452
y=208, rel_y=36, left=286, right=737, width=452
y=209, rel_y=37, left=258, right=765, width=508
y=210, rel_y=38, left=258, right=737, width=480
y=211, rel_y=39, left=259, right=765, width=507
y=212, rel_y=40, left=261, right=765, width=505
y=213, rel_y=41, left=258, right=765, width=508
y=214, rel_y=42, left=258, right=765, width=508
y=215, rel_y=43, left=258, right=765, width=508
y=216, rel_y=44, left=259, right=765, width=507
y=217, rel_y=45, left=258, right=765, width=508
y=218, rel_y=46, left=278, right=763, width=486
y=219, rel_y=47, left=278, right=762, width=485
y=220, rel_y=48, left=272, right=763, width=492
y=221, rel_y=49, left=269, right=764, width=496
y=222, rel_y=50, left=274, right=765, width=492
y=223, rel_y=51, left=271, right=765, width=495
y=224, rel_y=52, left=268, right=765, width=498
y=225, rel_y=53, left=267, right=765, width=499
y=226, rel_y=54, left=711, right=731, width=21
y=227, rel_y=55, left=711, right=738, width=28
y=228, rel_y=56, left=258, right=741, width=484
y=229, rel_y=57, left=260, right=785, width=526
y=230, rel_y=58, left=257, right=787, width=531
y=231, rel_y=59, left=257, right=789, width=533
y=232, rel_y=60, left=257, right=789, width=533
y=233, rel_y=61, left=257, right=766, width=510
y=234, rel_y=62, left=230, right=766, width=537
y=235, rel_y=63, left=257, right=764, width=508
y=236, rel_y=64, left=255, right=761, width=507
y=237, rel_y=65, left=230, right=768, width=539
y=238, rel_y=66, left=230, right=791, width=562
y=239, rel_y=67, left=230, right=766, width=537
y=240, rel_y=68, left=233, right=766, width=534
y=241, rel_y=69, left=255, right=775, width=521
y=242, rel_y=70, left=255, right=778, width=524
y=243, rel_y=71, left=255, right=780, width=526
y=244, rel_y=72, left=255, right=779, width=525
y=245, rel_y=73, left=243, right=778, width=536
y=246, rel_y=74, left=255, right=780, width=526
y=247, rel_y=75, left=245, right=781, width=537
y=248, rel_y=76, left=257, right=780, width=524
y=249, rel_y=77, left=244, right=766, width=523
y=250, rel_y=78, left=242, right=786, width=545
y=251, rel_y=79, left=242, right=780, width=539
y=252, rel_y=80, left=255, right=782, width=528
y=253, rel_y=81, left=240, right=778, width=539
y=254, rel_y=82, left=240, right=773, width=534
y=255, rel_y=83, left=240, right=778, width=539
y=256, rel_y=84, left=257, right=782, width=526
y=257, rel_y=85, left=257, right=782, width=526
y=258, rel_y=86, left=257, right=782, width=526
y=259, rel_y=87, left=257, right=782, width=526
y=260, rel_y=88, left=255, right=779, width=525
y=261, rel_y=89, left=255, right=781, width=527
y=262, rel_y=90, left=257, right=772, width=516
y=263, rel_y=91, left=250, right=773, width=524
y=264, rel_y=92, left=257, right=766, width=510
y=265, rel_y=93, left=255, right=780, width=526
y=266, rel_y=94, left=257, right=766, width=510
y=267, rel_y=95, left=257, right=766, width=510
y=268, rel_y=96, left=257, right=768, width=512
y=269, rel_y=97, left=255, right=766, width=512
y=270, rel_y=98, left=252, right=766, width=515
y=271, rel_y=99, left=257, right=766, width=510
y=272, rel_y=100, left=255, right=766, width=512
y=273, rel_y=101, left=255, right=766, width=512
y=274, rel_y=102, left=257, right=766, width=510
y=275, rel_y=103, left=251, right=766, width=516
y=276, rel_y=104, left=244, right=766, width=523
y=277, rel_y=105, left=258, right=759, width=502
y=278, rel_y=106, left=258, right=757, width=500
y=279, rel_y=107, left=252, right=757, width=506
y=280, rel_y=108, left=257, right=756, width=500
y=281, rel_y=109, left=251, right=755, width=505
y=282, rel_y=110, left=251, right=737, width=487
y=283, rel_y=111, left=286, right=789, width=504
y=284, rel_y=112, left=285, right=739, width=455
y=285, rel_y=113, left=285, right=784, width=500
y=286, rel_y=114, left=257, right=785, width=529
y=287, rel_y=115, left=257, right=785, width=529
y=288, rel_y=116, left=257, right=784, width=528
y=289, rel_y=117, left=248, right=792, width=545
y=290, rel_y=118, left=241, right=771, width=531
y=291, rel_y=119, left=264, right=776, width=513
y=292, rel_y=120, left=257, right=766, width=510
y=293, rel_y=121, left=240, right=766, width=527
y=294, rel_y=122, left=258, right=766, width=509
y=295, rel_y=123, left=257, right=781, width=525
y=296, rel_y=124, left=241, right=774, width=534
y=297, rel_y=125, left=257, right=774, width=518
y=298, rel_y=126, left=240, right=766, width=527
y=299, rel_y=127, left=240, right=779, width=540
y=300, rel_y=128, left=240, right=785, width=546
y=301, rel_y=129, left=236, right=775, width=540
